ID,vegyes_1,vegyes_2,lexikalis_disztribucios_3,mondatresz_disztribucios_4,topik_fokusz_5,kotoszo_6,mondatresz_disztribucios_7,alaktan_disztribucios_8,alaktan_disztribucios_9,lexikalis_disztribucios_10,kotoszo_11,vegyes_12,alaktan_disztribucios_13,mondatresz_disztribucios_14,alaktan_disztribucios_15,vegyes_16,lexikalis_disztribucios_17,lexikalis_disztribucios_18,mondatresz_disztribucios_19,vegyes_20
1001,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
1002,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
1004,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
1005,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1102,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1103,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
1201,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1
1202,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1203,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0
1204,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
1205,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1207,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
1208,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0
1209,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
1210,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
1211,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
1212,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1213,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
1214,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
1215,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
1303,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0
1305,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1306,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
1308,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1
1309,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
1310,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1
1312,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1313,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1314,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1315,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1316,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
1317,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
1318,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1320,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
