ID,sex,age_years,right_handedness,years_in_education,highest_education_level,current_education_level,digit_span_forward,digit_span_backward,grammatical_sensitivity,nback_1_back_dprime,nback_2_back_dprime,nback_3_back_dprime,one_minute_reading,predictive_sent_proc_RT,predictive_sent_proc_accuracy,perceptual_speed_visual_RT,perceptual_speed_auditory_RT,perceptual_speed_visual_decision,SEGM_RT_training,SEGM_RT_TRN3_RND4,SEGM_RT_RND4_REC5,SEGM_ACC_training,SEGM_ACC_TRN3_RND4,SEGM_ACC_RND4_REC5,SEGM_2AFC_bigram,SEGM_2AFC_trigram,SEGM_production,AGL_ACC_training,AGL_2AFC_phrase,AGL_2AFC_sentence,AGL_production,selfpaced_gardenpath_target,selfpaced_violation_processing_target,simon_RT,simon_accuracy,stroop_RT,stroop_accuracy,pragmatic_comprehension
1001,female,21.65555556,1,15,secondary,BA_BSc,8,5,0.615384615,4.789291307,2.563103131,0.58827413,280,0.853162,0.049407115,0.258585,0.3431975,0.721145,0.072805,0.18169,0.239865,-0.125,-0.125,-0.125,0.611111111,0.444444444,0.5,NA,NA,NA,NA,0.07675625,0.245145625,0.098695,0.125,0.507285,0.083333333,0.722222222
1002,male,24.35555556,1,17,secondary,BA_BSc,7,6,0.615384615,2.563103131,1.366021746,1.805952078,470,0.543599,0.045454545,0.268,0.3135,0.853,0.3535,0.1905,0.1065,-0.1875,0.0625,0.3125,0.611111111,0.388888889,0.916666667,NA,NA,NA,NA,-0.17,0.062333333,0.044,0.025,0.1375,0.066666667,0.777777778
1004,female,22.97777778,0,16,secondary,BA_BSc,7,7,0.769230769,2.563103131,1.048801025,-0.524400513,312,0.8944515,0,0.2579,0.29685,0.7018,0.1859,0.22195,0.1878,0.0625,0.125,0.125,0.777777778,0.777777778,0.416666667,NA,NA,NA,NA,0.1752,-0.028233333,0.04985,0.1,0.1879,-0.016666667,0.888888889
1005,male,20.15555556,1,13,secondary,BA_BSc,6,5,0.923076923,8.529781588,1.956041316,0.439930332,347,0.287904,0.001976285,0.28616,0.3207875,0.868545,-0.04389,0.0537825,0.0503075,-0.0625,0,0.0625,0.611111111,0.611111111,0.583333333,NA,NA,NA,NA,-0.497116875,0.695281429,0.0284175,0,0.584995,0.083333333,0.777777778
1102,female,30.47222222,1,16,BA_BSc,MA_MSc,7,5,1,2.1231727990000002,2.317984955,-1.534898669,393,0.779624,-0.043478261,0.2893325,0.453185,1.259065,-0.357415,-0.23877,0.10059,0,0.375,0.3125,0.555555556,0.5,0.583333333,NA,NA,NA,NA,-0.104603889,-0.051069286,0.0218175,0.05,0.415385,0,0.833333333
1103,male,27.63333333,1,18,BA_BSc,NA,6,5,0.692307692,5.546442359,2.1231727990000002,0.841621234,294,0.727317,0.045454545,0.31213,0.3039775,0.76795,-0.00766,0.0840125,0.0783925,0.0625,0.0625,0.0625,0.722222222,0.5,0.833333333,NA,NA,NA,NA,-0.25024375,1.346067143,0.042825,0.025,0.16562,0.033333333,0.777777778
1201,female,22.02777778,1,12,secondary,NA,9,2,0.692307692,0.253347103,-1.366021746,-4.518237897,343,0.6573985,0,0.321305,0.27245,0.770925,0.0507975,0.1315225,0.1002275,0,0,0,0.5,0.388888889,0.833333333,NA,NA,NA,NA,0.1160275,0.210711875,0.053685,0.05,0.40937,0.033333333,1
1202,female,22.98888889,0,16,secondary,BA_BSc,7,7,1,0.757151053,3.289707254,0,337,0.3750245,0,0.2579525,0.2670075,0.81218,0.22506,0.4635775,0.4592,0,0.25,0.25,0.777777778,1,0.916666667,NA,NA,NA,NA,-0.0654865,0.0064475,0.0058975,0.025,0.11291,0.016666667,0.833333333
1203,female,21.41388889,1,14,secondary,BA_BSc,6,4,0.769230769,5.106512027,-0.506694206,0,243,0.723493,0,0.304035,0.2827225,1.018795,0.1369275,0.2492425,0.16578,0.125,0.1875,0.125,0.722222222,0.833333333,0.75,NA,NA,NA,NA,0.445926111,0.58949125,0.050075,0.025,0.1381075,-0.016666667,0.888888889
1204,female,20.85555556,1,15,secondary,BA_BSc,7,6,0.846153846,2.563103131,0.58827413,-0.27105341,285,0.2485975,0.090909091,0.2774375,0.24595,0.865945,0.15614,0.54507,0.4113475,0,0.3125,0,0.777777778,0.555555556,0.75,NA,NA,NA,NA,0.104656111,0.076821875,0.0176225,0.075,0.1632725,0.083333333,0.888888889
