Trial ,Batch,Author,Year,Mean Age,Age Group,Paradigm,General Paradigm,General Paradigm 2,Stimuli Modality,Stimuli Domain,Pattern Type,Pattern Range,Test SL,General Test SL,SL Test Measure,Language Aspect,Language Test,Language Test Category,Language Test Category 2,Language Test Category 3,Language Related Disorder,Disorder Population,Sample Size,ES,SE,Fisher's Z,Fisher's SE
1,Original,Conway et al. (2010),2010,"20,000",Adults,SRTT,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Word prediction,Comprehension,Comprehension,Comprehension,TD,TD,23,0.458,0.172443633,0.494777456,0.223606798
2,Original,Conway et al. (2010),2010,"22,500",Adults,SRTT,SRTT,Sequence learning,Auditory,Linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Word prediction,Comprehension,Comprehension,Comprehension,TD,TD,22,0.423,0.183597057,0.451340166,0.229415734
3,Original,Conway et al. (2010),2010,"25,000",Adults,SRTT,SRTT,Sequence learning,Visual,Non-linguistic,Probability,Adjacent,Difference score,Recall,Reflection based,Processing,Word prediction,Comprehension,Comprehension,Comprehension,TD,TD,64,0.308,0.114952387,0.318334288,0.12803688
4,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Animate/inanimate noun clauses ,Comprehension,Comprehension,Comprehension,TD,TD,30,-0.02,0.188906644,-0.020002667,0.19245009
5,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Phonological typicality ambiguity,Comprehension,Comprehension,Comprehension,TD,TD,30,0.49,0.143607602,0.536060337,0.19245009
6,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Subject-object relative clauses ,Comprehension,Comprehension,Comprehension,TD,TD,30,0.39,0.160238038,0.411800035,0.19245009
7,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Adjacent,2AFC,Forced choice test,Reflection based,Processing,Shipley Institute of Living Scale Vocabulary Subtest,Vocabulary,Vocabulary,Vocabulary,TD,TD,30,0.05,0.188509781,0.050041729,0.19245009
8,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Animate/inanimate noun clauses ,Comprehension,Comprehension,Comprehension,TD,TD,30,0.41,0.157214323,0.435611223,0.19245009
9,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Phonological typicality ambiguity,Comprehension,Comprehension,Comprehension,TD,TD,30,0.12,0.186260892,0.120581028,0.19245009
10,Original,Misyak and Christiansen (2012),2012,"19,900",Adults,AGL,AGL,AGL,Auditory,Linguistic,Probability,Non-adjacent,2AFC,Forced choice test,Reflection based,Processing,Subject-object relative clauses ,Comprehension,Comprehension,Comprehension,TD,TD,30,0.42,0.15564577,0.447692024,0.19245009
