ID;sex;age_years;right_handedness;years_in_education;highest_education_level;current_education_level;digit_span_forward;digit_span_backward;grammatical_sensitivity;nback_1_back_dprime;nback_2_back_dprime;nback_3_back_dprime;one_minute_reading;predictive_sent_proc_RT;predictive_sent_proc_accuracy;processing_speed_visual_RT;processing_speed_auditory_RT;processing_speed_visual_decision;SEGM_RT_training;SEGM_RT_TRN3_RND4;SEGM_RT_RND4_REC5;SEGM_ACC_training;SEGM_ACC_TRN3_RND4;SEGM_ACC_RND4_REC5;SEGM_2AFC_bigram;SEGM_2AFC_trigram;SEGM_production;AGL_ACC_training;AGL_2AFC_phrase;AGL_2AFC_sentence;AGL_production;selfpaced_gardenpath_target;selfpaced_violation_processing_target;simon_RT;simon_accuracy;stroop_RT;stroop_accuracy;pragmatic_comprehension
1001;female;21.65555556;1;15;secondary;BA_BSc;0.90162026;-0.122989383;-0.776722506;0.388724105;1.097959771;0.49716344;-0.207918165;0.953069972;0.057641324;-1.016044808;0.667585296;-1.114003517;-0.064364601;0.027644765;0.528929822;-0.648085985;-1.13420757;-0.977640739;0.54472666;-0.889436021;-0.621565569;;;;;-0.082027963;-0.009616437;0.712765025;0.824031833;1.18151518;0.181991447;-0.159031483
1002;male;24.35555556;1;17;secondary;BA_BSc;0.345144296;0.392028657;-0.776722506;-0.30482671;0.390819227;1.024839025;1.899256055;-0.025918722;0.010915115;-0.850281198;0.114528548;-0.576405961;1.822644082;0.082909187;-0.259408397;-0.895939357;-0.307796106;0.800123468;0.54472666;-1.278875528;1.351097886;;;;;-1.010605102;-0.512261945;-0.302459719;-0.496419784;-0.702899398;0.035216733;0.208408193
1004;female;22.97777778;0;16;secondary;BA_BSc;0.345144296;0.907046698;0.059602335;-0.30482671;0.203430436;0.014990593;0.146974335;1.083647443;-0.526436163;-1.028105145;-0.195544518;-1.192876709;0.695931261;0.28019251;0.221166695;0.095474131;-0.032325618;0.038224522;1.807502104;1.447201048;-1.016098258;;;;;0.288429181;-0.761276534;-0.193874569;0.493918929;-0.446062332;-0.69865687;0.943287538
1005;male;20.15555556;1;13;secondary;BA_BSc;-0.211331668;-0.122989383;0.895927176;1.554043422;0.739355897;0.432879283;0.535138008;-0.834550614;-0.503073059;-0.530550218;0.250243711;-0.513026081;-0.848861931;-0.774708706;-0.591569724;-0.400232613;-0.583266594;-0.215741793;0.54472666;0.278882513;-0.22703288;;;;;-2.24159014;1.228039616;-0.59169529;-0.826532689;1.577523284;0.181991447;0.208408193
1102;female;30.47222222;1;16;BA_BSc;MA_MSc;0.345144296;-0.122989383;1.314089597;-0.441883426;0.953163433;-0.422904505;1.045295977;0.720507067;-1.040424348;-0.474694132;2.715883271;1.079197176;-2.956574563;-2.609867034;-0.294343192;-0.152379241;1.069556333;0.800123468;0.123801517;-0.499996507;-0.22703288;;;;;-0.764510693;-0.824064376;-0.714201613;-0.16630688;0.713195211;-0.551882148;0.575847862
1103;male;27.63333333;1;18;BA_BSc;;-0.211331668;-0.122989383;-0.358560085;0.624608355;0.838083894;0.606950336;-0.052652696;0.555086905;0.010915115;-0.073313791;-0.062809036;-0.923170757;-0.605301039;-0.585078345;-0.425555561;0.095474131;-0.307796106;-0.215741793;1.386576953;-0.499996507;0.956565192;;;;;-1.312573185;3.017386012;-0.324269557;-0.496419784;-0.559600622;-0.258332712;0.208408193
1201;female;22.02777778;1;12;secondary;;1.458096224;-1.668043503;-0.358560085;-1.02441241;-1.223054939;-1.715721932;0.490776445;0.333970618;-0.526436163;0.088224301;-0.649945887;-0.911041124;-0.212312885;-0.287051932;-0.296485977;-0.152379241;-0.583266594;-0.469708108;-0.297123633;-1.278875528;0.956565192;;;;;0.065755061;-0.104292619;-0.122690971;-0.16630688;0.68254293;-0.258332712;1.678166883
1202;female;22.98888889;0;16;secondary;BA_BSc;0.345144296;0.907046698;1.314089597;-0.867456388;1.52717974;0.242237336;0.424234101;-0.559033241;-0.526436163;-1.027180813;-0.751301602;-0.742836754;0.95918946;1.795902405;1.825448123;-0.152379241;0.518615357;0.546157152;1.807502104;3.004959089;1.351097886;;;;;-0.617306668;-0.665920994;-1.009701712;-0.496419784;-0.828209388;-0.405107425;0.575847862
1203;female;21.41388889;1;14;secondary;BA_BSc;-0.211331668;-0.638007423;0.059602335;0.48755164;-0.715432524;0.242237336;-0.618262618;0.542993558;-0.526436163;-0.215837044;-0.458641048;0.099571339;0.366707254;0.45139617;0.091003552;0.343327503;0.243144869;0.038224522;1.386576953;1.836640555;0.562032503;;;;;1.307208148;0.937167719;-0.189698217;-0.496419784;-0.699803594;-0.69865687;0.943287538
1204;female;20.85555556;1;15;secondary;BA_BSc;0.345144296;0.392028657;0.477764756;-0.30482671;-0.068612253;0.124777488;-0.152466212;-0.958856875;0.548266405;-0.684121444;-1.143455571;-0.523626769;0.495865787;2.30709831;1.542585643;-0.152379241;0.794085845;-0.469708108;1.807502104;-0.110556994;0.562032503;;;;;0.022962987;-0.472425452;-0.792067374;0.163806025;-0.57156342;0.181991447;0.943287538
