ID,GP_1_plus1_RT_diff,GP_2_plus1_RT_diff,GP_3_plus1_RT_diff,GP_4_plus1_RT_diff,GP_7_plus1_RT_diff,mellekmondat_1_plus1_RT_diff,mellekmondat_2_plus1_RT_diff,mellekmondat_3_plus1_RT_diff,mellekmondat_4_plus1_RT_diff,mellekmondat_5_plus1_RT_diff,mellekmondat_6_plus1_RT_diff,mellekmondat_7_plus1_RT_diff,mellekmondat_8_plus1_RT_diff,mellekmondat_9_plus1_RT_diff,mellekmondat_10_plus1_RT_diff,mnGP_1_plus1_RT_diff,mnGP_3_plus1_RT_diff,mnGP_8_plus1_RT_diff,mnGP_9_plus1_RT_diff,mnGP_10_plus1_RT_diff,morf_1_plus1_RT_diff,morf_2_plus1_RT_diff,szemantikai_1_plus1_RT_diff,szemantikai_2_plus1_RT_diff,szemantikai_3_plus1_RT_diff,szambeli_1_plus1_RT_diff,vonzat_2_plus1_RT_diff,vonzat_3_plus1_RT_diff,vonzat_6_plus1_RT_diff,GP_1_target_RT_diff,GP_2_target_RT_diff,GP_3_target_RT_diff,GP_4_target_RT_diff,GP_7_target_RT_diff,mellekmondat_1_target_RT_diff,mellekmondat_2_target_RT_diff,mellekmondat_3_target_RT_diff,mellekmondat_4_target_RT_diff,mellekmondat_5_target_RT_diff,mellekmondat_6_target_RT_diff,mellekmondat_7_target_RT_diff,mellekmondat_8_target_RT_diff,mellekmondat_9_target_RT_diff,mellekmondat_10_target_RT_diff,mnGP_1_target_RT_diff,mnGP_3_target_RT_diff,mnGP_8_target_RT_diff,mnGP_9_target_RT_diff,mnGP_10_target_RT_diff,morf_1_target_RT_diff,morf_2_target_RT_diff,szemantikai_1_target_RT_diff,szemantikai_2_target_RT_diff,szemantikai_3_target_RT_diff,szambeli_1_target_RT_diff,vonzat_2_target_RT_diff,vonzat_3_target_RT_diff,vonzat_6_target_RT_diff
1001,-0.118175,,0.140725,0.092635,-0.50729,0.02129,0.256345,0.00397,,-0.126195,0.0576,,-0.122285,,0.06911,-0.146025,,0.12112,-0.70521,0.039815,0.892055,0.14319,0.506335,-0.221645,0.23964,0.06534,2.147085,-0.026155,0.56576,-0.208415,,0.539395,-0.353695,-0.02087,-0.264455,0.096425,-0.04225,,-0.915815,-0.024155,,-0.046415,,0.21009,0.175205,,0.317595,-0.10519,0.270025,-0.29599,0.10679,0.736015,-0.05552,1.03408,0.547665,0.01071,0.06557,-0.081365
1002,0.063,,0.037,,0.155,-0.143,0.269,0.123,-0.04,,,-0.053,-0.21,,-0.056,0.104,0.181,0.02,-1.256,0.034,0.335,-0.348,0.271,,,0.151,0.426,0.407,0.488,-0.36,,0.033,,0.016,-0.057,0.156,0.068,0.483,,,-0.001,-0.002,,-0.199,0.05,-0.555,-0.052,-0.1,-0.392,-0.102,,0.143,,,-0.068,-0.026,0.069,0.358
1004,0.1794,-0.0149,,,0.1334,-0.1489,-0.1355,-0.0493,0.0813,0.0487,0.2344,-0.3869,,0.2577,-0.0366,-0.2324,0.0374,0.0163,-0.3683,0.2908,,0.4227,0.3361,,0.1651,0.4154,0.368,0.435,0.6633,-0.1287,-0.4235,,,-0.1185,-0.046,,-0.0675,-0.903,-0.0724,-0.1646,-1.5375,,0.246,0.1227,0.3976,0.6157,0.285,0.3837,0.3903,,0.0383,-0.05,,-0.2948,-0.0302,0.1005,0.1189,-0.0138
1005,,0.460635,1.13414,,0.427635,,,,,,,,,,0.320005,-0.35784,1.18887,0.162615,2.05075,0.24582,2.997125,1.14574,-0.17789,0.252315,-0.113535,,2.42838,1.814355,1.11048,,0.000615,0.664095,,-0.32122,,,,,,,,,,1.519195,-1.147965,-0.315245,-0.022975,-1.961665,-0.872575,0.521685,-0.16687,0.76835,1.294825,1.489265,,0.206295,0.06513,0.52142
1006,,-0.012315,0.119055,0.085085,,-0.03291,,,,,,,-0.2394,0.012895,0.113135,0.038375,-0.329295,0.091515,-0.08212,0.10883,,0.1069,0.35964,0.244135,,0.134965,0.304515,,-0.049925,,-0.057255,0.046255,-0.083115,,0.01828,,,,,,,-0.17903,-0.07214,-0.22886,0.017555,-0.1423,-0.18465,0.071605,0.07405,,-0.00989,0.07274,0.135435,-0.00558,-0.12019,0.060445,,-0.07401
1102,-0.81175,0.41969,,-0.765955,-0.532025,0.062875,0.29008,0.033075,0.466595,,-0.10259,-0.301165,-0.96807,-0.153615,-0.07288,-0.414465,1.29968,-0.29019,0.859205,-0.125855,0.100945,0.952295,-0.43085,0.21082,,0.207155,0.34171,0.967725,-0.056705,-0.308125,0.38137,,-0.01264,-0.158105,0.181,0.09685,0.85919,0.494695,,1.39128,-0.07925,0.06806,0.657925,-0.002155,-0.23093,-0.047415,-0.303105,0.00933,-0.271815,-0.016025,1.38167,-0.909305,-0.025935,,-0.04365,-0.01679,0.65062,0.0036
1103,,1.5932,0.707315,-2.915775,3.76616,,-3.76412,-2.018285,,-0.089055,2.327585,-1.03202,,0.479035,,-0.12361,2.009645,0.48497,,-2.133265,-0.73585,0.48924,0.39444,-0.63704,-0.510015,,0.615775,0.90131,0.646325,,0.284955,0.661815,-1.67289,-1.605805,,0.063895,,-0.18196,0.0673,0.181345,-3.83051,,3.20085,,-0.2862,0.496955,0.468755,,-0.349535,0.964865,0.083125,3.846535,0.40814,,-0.15692,1.72511,0.70263,1.93211
1201,0.68989,-0.245565,0.162245,-2.089725,1.40004,-0.19222,1.5033,0.391545,0.666405,0.233125,0.25547,0.07184,0.000615,-0.36708,-0.169155,0.43374,0.31746,0.35723,0.17293,0.75628,0.010875,-0.026685,0.363635,-0.1216,0.79993,2.6264,0.347635,2.588865,0.3839,0.967955,-0.070595,0.14827,-1.780485,-0.052425,-0.424485,0.31025,0.31297,0.198075,0.05957,0.224995,0.166935,1.06416,-0.74649,1.063095,0.518405,0.174705,0.19053,0.339505,0.72441,-0.158905,0.045045,0.421245,0.278295,0.286025,0.43896,-0.20455,0.45234,0.172285
1202,0.130435,-0.222995,-0.11543,0.067985,-0.09199,-0.26599,-0.188355,-0.245595,-0.21724,0.02581,0.043595,-0.180795,0.053745,-0.119515,0.18546,-0.19945,0.10768,-0.084555,0.013805,-0.3499,0.174325,0.21805,-0.004365,0.06684,,0.144375,-0.142075,-0.011635,0.13641,0.008425,-0.072135,-0.1925,0.089585,0.542995,-0.175475,-0.160055,-0.166485,0.44406,-0.224875,0.267715,0.49121,-0.09928,-0.042665,-0.003185,-0.25237,-0.31397,-0.07549,-0.07331,-0.316095,-0.188415,-0.077195,0.141365,0.116295,0.117555,-0.003955,-0.13555,0.038325,-0.03404
1203,0.03767,0.318815,,0.061265,0.16518,0.034005,-0.241555,0.881375,0.270055,0.078275,-0.031725,-0.19726,-0.71026,0.046495,-0.502315,-0.27731,-0.32129,0.21321,-0.366345,0.206285,0.21397,0.30914,0.67678,-0.103615,0.00106,0.41481,1.45502,1.46963,0.28391,0.235815,0.46389,,2.148985,0.10324,0.10989,-0.515965,0.35507,-0.796905,-0.018325,-0.45507,0.211945,0.64958,-0.2495,-0.712705,0.019865,0.18118,0.46289,0.70012,-0.30265,0.281635,0.243395,0.289955,-0.033235,0.75294,2.131575,0.02903,0.29162,0.97241
