ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
1209,right,left,left,left,,right,left,,left,left,right,right,left,right,left,right,right,right,right,right,right,right,,left,left,right,right,right,left,right
2202,left,left,left,left,left,right,left,,left,left,right,right,left,,,right,,right,right,right,right,right,,right,right,right,right,,right,right
2205,right,right,left,left,left,right,left,left,left,left,left,left,left,left,left,right,,right,right,right,right,,right,left,right,,right,right,left,left
2307,right,left,right,right,right,right,right,right,right,right,right,right,right,right,right,,left,left,right,left,left,,,right,left,right,left,right,right,right
2321,right,right,right,right,right,right,right,right,,right,right,right,left,,,right,right,right,right,left,right,right,right,right,right,,right,right,right,right
2344,right,right,left,left,right,left,right,,,left,right,left,left,,left,right,right,right,right,right,right,right,,left,left,right,right,,left,right
2357,right,right,,left,left,left,right,,left,left,left,left,left,,left,,right,right,right,right,right,right,right,left,right,right,right,right,right,left
2367,right,left,left,left,left,left,left,,left,left,left,right,left,,,right,,right,left,right,right,right,,right,right,right,right,,left,left
3203,right,right,,left,right,right,right,,right,left,left,right,left,left,left,right,right,right,right,right,right,right,right,left,right,right,right,right,left,left
4532,left,right,,left,right,right,right,,,left,left,left,left,,left,right,,right,right,right,right,,right,left,left,right,right,right,right,right
5022,left,left,left,left,left,left,right,left,left,left,left,left,left,left,left,,,right,right,left,right,,right,left,left,,right,,left,left
5082,right,left,,left,,right,left,,,left,right,right,left,,right,,,,right,right,left,,,,right,left,left,left,left,left
5090,right,right,left,left,,left,right,,left,left,right,left,left,left,left,,,right,right,left,right,right,right,right,left,right,right,right,right,right
6101,right,right,,left,right,right,right,right,,left,right,right,left,left,left,right,,right,right,right,right,right,right,right,right,,right,right,left,left
6102,right,right,right,left,right,right,right,,left,left,left,left,left,,right,right,,right,right,right,right,right,right,right,right,right,right,right,left,left
6103,right,right,right,left,right,left,right,,left,left,left,left,left,left,left,,,right,right,right,right,right,right,left,right,,right,right,left,left
6104,left,left,,right,left,right,left,right,,right,left,left,right,,right,,left,left,left,left,left,left,left,right,left,left,left,left,right,right
6105,left,left,left,left,left,left,right,,left,left,left,left,left,left,left,left,left,right,left,left,right,,right,left,left,,right,left,left,left
6107,right,right,left,,,left,right,,,left,left,left,left,,left,,right,right,right,right,right,right,right,left,right,right,,right,right,right
6111,right,right,,left,right,right,right,,right,left,right,right,left,,left,right,,right,right,right,right,right,right,,right,right,right,,left,left
6112,right,right,,,,left,right,,left,left,left,left,left,left,left,right,right,right,right,,right,,right,right,left,right,right,right,right,right
6113,left,right,left,left,,left,right,,left,left,left,right,left,left,left,,,right,right,right,right,right,,left,right,left,right,right,right,left
6114,right,right,left,,,left,left,,left,left,left,left,left,,,right,right,right,right,right,right,right,right,left,right,,right,,left,left
6115,left,right,left,right,right,right,left,,right,right,right,right,right,,right,left,,left,right,left,left,left,,right,left,,left,left,,right
6116,,left,left,left,left,,right,right,,left,left,left,left,,left,,,,right,right,right,right,right,left,right,,right,right,right,right
6117,left,right,left,left,,left,right,,right,left,right,left,left,,,,right,right,,right,left,,left,left,right,,left,right,left,right
6118,left,left,,left,left,right,left,,left,left,right,right,left,,,,,right,left,,right,right,,right,right,right,right,right,left,left
6120,left,left,right,left,left,right,left,,,left,right,right,left,right,right,right,right,right,,left,right,right,right,left,right,right,right,right,left,left
6122,right,right,,left,,right,right,left,,right,left,right,left,left,,,right,right,right,left,right,,right,left,right,,right,right,left,left
6124,,left,left,left,,left,right,,left,left,left,left,left,left,left,left,,right,right,right,right,right,,left,right,,right,right,,left
6125,right,right,,right,,left,right,,right,right,left,left,right,,,,,left,,right,left,left,,,left,left,left,,left,
6126,right,right,,,,right,right,,,left,right,left,left,,left,right,,right,right,right,right,right,right,right,right,right,right,right,left,left
6127,right,right,left,left,left,left,right,,left,left,left,left,left,left,,right,,right,left,left,right,right,,left,left,left,right,right,left,right
6128,right,right,right,left,,left,right,right,right,left,left,left,left,left,right,right,,right,right,left,right,right,right,right,right,right,left,,left,left
6129,right,right,,left,,right,right,,left,left,right,right,left,,left,right,right,right,,right,right,right,right,left,right,right,right,right,left,left
6130,left,right,,left,right,left,right,,left,left,left,left,left,left,left,right,,right,right,right,right,,right,left,left,,right,right,right,left
6131,right,right,,left,,right,right,,,left,left,left,left,left,,right,right,right,right,right,right,right,right,left,right,right,right,right,left,left
6132,left,left,left,left,left,right,left,,left,left,right,right,left,,,,,right,,left,right,right,,,right,right,right,,right,left
6133,right,left,,left,,left,left,,left,left,right,right,left,,,,,right,left,left,right,right,,right,right,,right,right,right,left
6134,left,left,right,right,right,right,right,right,,right,right,right,right,right,,,right,left,right,right,right,right,left,right,left,,right,left,right,right
6135,left,right,,right,,right,right,right,right,right,left,left,right,,,,left,left,right,left,left,left,,left,left,right,right,,right,right
6136,right,right,,left,right,right,right,,left,,right,left,left,,left,,left,right,right,right,right,right,right,left,right,,right,right,left,right
6137,left,right,,left,right,left,right,,,left,left,left,left,left,left,right,,right,right,right,right,,right,left,left,,right,right,left,right
6138,left,,,left,left,right,left,,,left,left,left,left,left,left,,,right,left,right,right,right,right,left,right,,right,,right,left
6139,right,right,left,left,,left,right,,,left,left,left,left,left,left,,,right,right,right,right,right,right,left,right,right,right,right,right,right
6140,right,right,left,left,left,left,right,,left,left,left,left,left,left,left,,,right,left,right,right,,,left,left,,right,right,right,left
6202,right,right,,left,,left,right,,,left,left,left,left,,,right,right,right,right,right,right,right,,left,left,right,right,right,left,left
6203,right,right,,left,right,right,right,right,right,left,left,right,right,left,left,right,right,right,right,right,right,right,right,left,left,right,right,right,right,right
6204,left,right,,left,right,left,right,left,,left,left,left,left,left,right,right,right,right,right,right,right,right,right,left,right,right,right,right,left,right
6205,right,right,,left,right,,right,,,left,right,left,left,right,left,right,,right,right,right,right,,,left,left,left,right,left,left,right
6206,right,right,,left,right,right,right,right,,left,right,right,left,,left,,right,right,right,right,right,right,right,left,left,,right,right,left,right
